time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],phase
4.712,4.712,-1.755426287651062,-0.047564015462809056,0.22004681288313024,0.25614327866956216,e
4.713,4.713,-1.8650907278060913,-0.3973502733952151,0.22174610813062454,0.2594691079985883,e
4.714,4.714,-0.9253612756729126,-0.18625422515454385,0.21985808636118345,0.2607256971016426,e
4.715,4.715,-1.403161883354187,-0.30991412903689464,0.22032130911323447,0.2595249333316238,e
4.716,4.716,-1.9733020067214966,-0.4192162228756598,0.23021877709921507,0.2645325362887472,e
4.717,4.717,-1.0155590772628784,-0.34333506718124995,0.2441935113282993,0.2742119554422652,e
4.718,4.718,-0.2051880657672882,-0.14671968864597512,0.23792641234044262,0.2747099557951613,e
4.719,4.719,-0.5547741055488586,-0.4153588827419018,0.231151127361414,0.2722978257519071,e
4.72,4.72,-0.7387081980705261,0.08315009167498574,0.2267420373002344,0.2636731118417193,e
4.721,4.721,-0.9226601719856262,0.16655784378482336,0.22894169263172656,0.2661392430259477,e
4.722,4.722,-1.4936126470565796,-0.26131514529553246,0.22720638124580078,0.25866189533677136,e
4.723,4.723,-0.7941609621047974,0.08066840329442126,0.2334380848593177,0.25877714204222535,e
4.724,4.724,-0.5736241936683655,-0.22111896774949008,0.23482936520241532,0.2632429398141531,e
4.725,4.725,-0.11377909034490585,-0.11667515373265655,0.2353545088223563,0.266123639290173,e
4.726,4.726,-0.15102316439151764,-0.2072125634917283,0.22038286880824864,0.25052660555750317,e
4.727,4.727,-0.6488667130470276,-0.1609310395012955,0.20850204543562006,0.24035079918535676,e
4.728,4.728,-0.3186098039150238,0.007335520481654988,0.20925256581345114,0.24713681711587382,e
4.729,4.729,-0.006549172103404999,0.22696317489637993,0.21789890845152257,0.2469560071065231,e
4.73,4.73,-0.9280661344528198,0.2746463955727167,0.22293495779723682,0.25877988132482777,e
4.731,4.731,-1.6288889646530151,0.3197659541330358,0.22571147600361877,0.2578767401384722,e
4.732,4.732,-1.3908860683441162,0.4879369714322003,0.22355887216034767,0.26437453440528086,e
4.733,4.733,-0.8215134739875793,0.05666742361081969,0.22149445109526644,0.25541945250057374,e
4.734,4.734,-0.6757262945175171,-0.0864970118185211,0.21596953646408487,0.2570244907251612,e
4.735,4.735,-0.47481560707092285,0.010741226822104027,0.21684908509149162,0.25894393815407435,e
4.736,4.736,-0.5502697825431824,-0.12063033240351012,0.2270135286441406,0.2637207270446189,e
4.737,4.737,-0.8099338412284851,-0.3129458515879659,0.2444868214900242,0.28181358296848974,e
4.738,4.738,-0.9409143924713135,-0.16646613825090156,0.23899724845010703,0.27607839188474204,e
4.739,4.739,-0.4460477828979492,0.13760867440113211,0.23539651318540808,0.2696258868760956,e
4.74,4.74,-0.6324170231819153,0.0932218659512854,0.22894485305776968,0.26944094522554,e
4.741,4.741,-1.389463186264038,0.15561954515775117,0.22672741017029407,0.25981849862579554,e
4.742,4.742,-1.649770736694336,0.22496660226721812,0.22847361850241504,0.2568013035229723,e
4.743,4.743,-0.8608945608139038,0.2444450417204666,0.23054374382200804,0.26206635338903445,e
4.744,4.744,-0.2560107707977295,0.18095293981015242,0.2282137926771688,0.2617462299468749,e
4.745,4.745,-0.8478696942329407,0.0843081684934387,0.23393432142432036,0.2633185625121257,e
4.746,4.746,-1.5688672065734863,0.1072804733351957,0.22105089179707882,0.2557684868284978,e
4.747,4.747,-0.7435137033462524,0.14305743802270177,0.2125170892373627,0.24146575022150255,e
4.748,4.748,0.08168075978755951,0.39443968075564584,0.21486740181973585,0.24644231291829874,e
4.749,4.749,0.3177337050437927,0.4927417320970719,0.2225315932835995,0.24926156683623857,e
4.75,4.75,0.3511609435081482,0.23000899638111777,0.22476886581935948,0.2513821833949848,e
4.751,4.751,1.102546215057373,0.5909481685252558,0.22942241416116718,0.2586349187361363,e
4.752,4.752,0.749083936214447,0.39468617252450344,0.2232632339570153,0.2573194423169678,e
4.753,4.753,0.46903619170188904,0.044301513924761705,0.2212953357558897,0.25628834295839115,e
4.754,4.754,1.219860315322876,0.2693955176214622,0.21591569015822312,0.2553190362289282,e
4.755,4.755,1.1420795917510986,0.48473033496691736,0.21622779244335716,0.2575338503725037,e
4.756,4.756,0.3279121518135071,0.419386207033619,0.23018950792179702,0.26761261235718203,e
4.757,4.757,-0.2840639650821686,0.4278464413439103,0.2479946701988742,0.2788008171395065,e
4.758,4.758,-0.08608480542898178,0.0727796308632947,0.24087991584781251,0.28073738066141973,e
4.759,4.759,0.7378334999084473,0.2834928949034929,0.23409580017384204,0.26693198625662207,e
4.76,4.76,0.2913280427455902,0.5198249960489347,0.22713868765287423,0.2590580309379351,e
4.761,4.761,-0.4499132037162781,0.3268085825064275,0.22880420274714106,0.26183136734799467,e
4.762,4.762,-0.14197072386741638,0.27421622244916016,0.22488725597327125,0.2586270091649306,e
